Year,Month,ISHMT,Area,All Hospital Discharges,"Hospital Discharges Per 1,000 Population"
2020,11,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,43,0.028638944
2020,12,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,39,0.025974856
2021,1,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,44,0.029304966
2021,2,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,30,0.019980659
2021,3,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,45,0.029970988
2021,4,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,62,0.041293361
2021,5,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,37,0.024642812
2021,6,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,58,0.038629274
2021,7,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,78,0.051949713
2021,8,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,64,0.042625405
2021,9,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,67,0.044623471
2021,10,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,78,0.051949713
2021,11,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,78,0.051949713
2021,12,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,67,0.044623471
2022,1,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,72,0.047953581
2022,2,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,81,0.053947779
2022,3,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,171,0.113889755
2022,4,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,128,0.085250811
2022,5,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,90,0.059941976
2022,6,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,127,0.084584789
2022,7,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,103,0.068600262
2022,8,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,95,0.063272086
2022,9,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,95,0.063272086
2022,10,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,153,0.10190136
2022,11,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,154,0.102567381
2022,12,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,507,0.337673132
2023,1,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,514,0.342335286
2023,2,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,203,0.135202457
2023,3,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,185,0.123214062
2023,4,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,152,0.101235338
2023,5,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,138,0.09191103
2023,6,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,125,0.083252745
2023,7,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,128,0.085250811
2023,8,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,96,0.063938108
2023,9,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,90,0.059941976
2023,10,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,107,0.071264349
2023,11,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,124,0.082586723
2023,12,Acute upper respiratory infections & influenza (J00-J11),Co. Dublin,255,0.169835599
2017,1,Asthma (J45-J46),Co. Cork,51,0.085961769
2017,2,Asthma (J45-J46),Co. Cork,52,0.087647294
2017,3,Asthma (J45-J46),Co. Cork,45,0.07584862
2017,4,Asthma (J45-J46),Co. Cork,37,0.062364421
2017,5,Asthma (J45-J46),Co. Cork,59,0.099445968
2017,6,Asthma (J45-J46),Co. Cork,57,0.096074918
2017,7,Asthma (J45-J46),Co. Cork,44,0.074163095
2017,8,Asthma (J45-J46),Co. Cork,58,0.097760443
2017,9,Asthma (J45-J46),Co. Cork,60,0.101131493
2017,10,Asthma (J45-J46),Co. Cork,62,0.104502543
2017,11,Asthma (J45-J46),Co. Cork,72,0.121357791
2017,12,Asthma (J45-J46),Co. Cork,68,0.114615692
2018,1,Asthma (J45-J46),Co. Cork,66,0.111244642
2018,2,Asthma (J45-J46),Co. Cork,66,0.111244642
2018,3,Asthma (J45-J46),Co. Cork,64,0.107873592
2018,4,Asthma (J45-J46),Co. Cork,58,0.097760443
2018,5,Asthma (J45-J46),Co. Cork,74,0.124728841
2018,6,Asthma (J45-J46),Co. Cork,57,0.096074918
2018,7,Asthma (J45-J46),Co. Cork,43,0.07247757
2018,8,Asthma (J45-J46),Co. Cork,44,0.074163095
2018,9,Asthma (J45-J46),Co. Cork,66,0.111244642
2018,10,Asthma (J45-J46),Co. Cork,71,0.119672267
2018,11,Asthma (J45-J46),Co. Cork,81,0.136527515
2018,12,Asthma (J45-J46),Co. Cork,53,0.089332819
2019,1,Asthma (J45-J46),Co. Cork,65,0.109559117
2019,2,Asthma (J45-J46),Co. Cork,42,0.070792045
2019,3,Asthma (J45-J46),Co. Cork,51,0.085961769
2019,4,Asthma (J45-J46),Co. Cork,54,0.091018344
2019,5,Asthma (J45-J46),Co. Cork,49,0.082590719
2019,6,Asthma (J45-J46),Co. Cork,36,0.060678896
2019,7,Asthma (J45-J46),Co. Cork,43,0.07247757
2019,8,Asthma (J45-J46),Co. Cork,60,0.101131493
2019,9,Asthma (J45-J46),Co. Cork,68,0.114615692
2019,10,Asthma (J45-J46),Co. Cork,69,0.116301217
2019,11,Asthma (J45-J46),Co. Cork,57,0.096074918
2019,12,Asthma (J45-J46),Co. Cork,49,0.082590719
2020,1,Asthma (J45-J46),Co. Cork,66,0.111244642
2020,2,Asthma (J45-J46),Co. Cork,46,0.077534145
2020,3,Asthma (J45-J46),Co. Cork,64,0.107873592
2020,4,Asthma (J45-J46),Co. Cork,57,0.096074918
2020,5,Asthma (J45-J46),Co. Cork,41,0.06910652
2020,6,Asthma (J45-J46),Co. Cork,34,0.057307846
2020,7,Asthma (J45-J46),Co. Cork,39,0.06573547
2020,8,Asthma (J45-J46),Co. Cork,35,0.058993371
2020,9,Asthma (J45-J46),Co. Cork,44,0.074163095
2020,10,Asthma (J45-J46),Co. Cork,52,0.087647294
2020,11,Asthma (J45-J46),Co. Cork,43,0.07247757
2020,12,Asthma (J45-J46),Co. Cork,49,0.082590719
2021,1,Asthma (J45-J46),Co. Cork,35,0.058993371
2021,2,Asthma (J45-J46),Co. Cork,39,0.06573547
2021,3,Asthma (J45-J46),Co. Cork,41,0.06910652
2021,4,Asthma (J45-J46),Co. Cork,53,0.089332819
2021,5,Asthma (J45-J46),Co. Cork,40,0.067420995
2021,6,Asthma (J45-J46),Co. Cork,51,0.085961769
2021,7,Asthma (J45-J46),Co. Cork,36,0.060678896
2021,8,Asthma (J45-J46),Co. Cork,30,0.050565746
2021,9,Asthma (J45-J46),Co. Cork,42,0.070792045
2021,10,Asthma (J45-J46),Co. Cork,47,0.079219669
2021,11,Asthma (J45-J46),Co. Cork,46,0.077534145
2021,12,Asthma (J45-J46),Co. Cork,43,0.07247757
2022,1,Asthma (J45-J46),Co. Cork,41,0.06910652
2022,2,Asthma (J45-J46),Co. Cork,33,0.055622321
2022,3,Asthma (J45-J46),Co. Cork,55,0.092703868
2022,4,Asthma (J45-J46),Co. Cork,45,0.07584862
2022,5,Asthma (J45-J46),Co. Cork,59,0.099445968
2022,6,Asthma (J45-J46),Co. Cork,36,0.060678896
2022,7,Asthma (J45-J46),Co. Cork,39,0.06573547
2022,8,Asthma (J45-J46),Co. Cork,39,0.06573547
2022,9,Asthma (J45-J46),Co. Cork,52,0.087647294
2022,10,Asthma (J45-J46),Co. Cork,55,0.092703868
2022,11,Asthma (J45-J46),Co. Cork,56,0.094389393
2022,12,Asthma (J45-J46),Co. Cork,57,0.096074918
2023,1,Asthma (J45-J46),Co. Cork,69,0.116301217
2023,2,Asthma (J45-J46),Co. Cork,55,0.092703868
2023,3,Asthma (J45-J46),Co. Cork,64,0.107873592
2023,4,Asthma (J45-J46),Co. Cork,58,0.097760443
2023,5,Asthma (J45-J46),Co. Cork,72,0.121357791
2023,6,Asthma (J45-J46),Co. Cork,39,0.06573547
2023,7,Asthma (J45-J46),Co. Cork,46,0.077534145
2023,8,Asthma (J45-J46),Co. Cork,58,0.097760443
